iter	RMSE
0	25581.95398
1	25566.95761
2	25551.25954
3	25537.12067
4	25522.84842
5	25510.32102
6	25495.21126
7	25481.72928
8	25468.34756
9	25455.0569
10	25441.85018
11	25428.93629
12	25417.34102
13	25404.94566
14	25392.12729
15	25379.72327
16	25368.21433
17	25357.25698
18	25346.39509
19	25334.85733
20	25324.4555
21	25312.22521
22	25299.9037
23	25289.29606
24	25279.31192
25	25268.50572
26	25258.45715
27	25248.40056
28	25237.19544
29	25226.74389
30	25216.72311
31	25207.28493
32	25198.15594
33	25189.14705
34	25178.89673
35	25169.95266
36	25160.94329
37	25152.31485
38	25143.15579
39	25134.66255
40	25126.09478
41	25117.39794
42	25108.46084
43	25099.88052
44	25091.69036
45	25083.69325
46	25075.91479
47	25068.98973
48	25060.91931
49	25053.76036
50	25046.23587
51	25039.2928
52	25032.63792
53	25025.1328
54	25018.18191
55	25010.6323
56	25003.25517
57	24996.61495
58	24989.32745
59	24983.26218
60	24976.86544
61	24970.81666
62	24964.87485
63	24958.58431
64	24952.02764
65	24946.19385
66	24940.50168
67	24934.91075
68	24928.81509
69	24923.64587
70	24918.69478
71	24913.56102
72	24908.48772
73	24902.93536
74	24897.64296
75	24892.70628
76	24887.42085
77	24883.02913
78	24877.57463
79	24872.78769
80	24867.62485
81	24863.59314
82	24858.63582
83	24854.43192
84	24849.96985
85	24845.36841
86	24841.61757
87	24837.04745
88	24832.94296
89	24827.94219
90	24824.38885
91	24820.21727
92	24816.31701
93	24812.39962
94	24808.84454
95	24805.08052
96	24801.22289
97	24797.71692
98	24793.64588
99	24789.96999
100	24786.36324
101	24783.05607
102	24779.76663
103	24775.68532
104	24772.67021
105	24769.2395
106	24766.27098
107	24762.72658
108	24759.74734
109	24756.03204
110	24752.95801
111	24750.01603
112	24747.04184
113	24744.07543
114	24741.24724
115	24737.84421
116	24734.85401
117	24732.27849
118	24729.84351
119	24726.59736
120	24724.03806
121	24721.42469
122	24719.28074
123	24716.52086
124	24713.64228
125	24710.64664
126	24708.72969
127	24706.4669
128	24704.12611
129	24701.56428
130	24698.79586
131	24696.38327
132	24694.29573
133	24692.04152
134	24689.64707
135	24687.15328
136	24684.8054
137	24682.5697
138	24680.68937
139	24678.53132
140	24676.60854
141	24674.4948
142	24672.58854
143	24670.74479
144	24668.53572
145	24666.59784
146	24664.38041
147	24662.33865
148	24660.96416
149	24659.17301
150	24657.07858
151	24655.0349
152	24653.19336
153	24651.23067
154	24649.31679
155	24647.69774
156	24645.72313
157	24644.14211
158	24642.5923
159	24641.11321
160	24639.46983
161	24637.84248
162	24636.25536
163	24634.96928
164	24633.20863
165	24631.79787
166	24630.39968
167	24628.77728
168	24627.06703
169	24625.58409
170	24624.00529
171	24622.65214
172	24621.24643
173	24620.08941
174	24618.59663
175	24617.24774
176	24615.86324
177	24614.50285
178	24613.27286
179	24611.77591
180	24610.27666
181	24609.22731
182	24607.97432
183	24606.92374
184	24605.77512
185	24604.44998
186	24603.32509
187	24602.08617
188	24601.40398
189	24600.20699
190	24599.11268
191	24597.76851
192	24596.66247
193	24595.53075
194	24594.51256
195	24593.81402
196	24592.89375
197	24591.94318
198	24590.7021
199	24589.623
200	24588.71227
201	24587.74531
202	24586.68477
203	24585.87697
204	24584.93175
205	24584.23303
206	24583.15486
207	24582.23495
208	24580.92635
209	24579.78946
210	24578.8309
211	24577.75313
212	24577.0178
213	24576.25157
214	24575.75564
215	24574.80083
216	24574.13966
217	24573.20995
218	24572.23435
219	24571.5652
220	24570.67488
221	24570.15253
222	24569.22083
223	24568.20181
224	24567.34367
225	24566.38039
226	24565.70711
227	24565.00793
228	24563.97739
229	24563.30484
230	24562.55872
231	24561.6574
232	24561.13985
233	24560.45774
234	24559.76752
235	24559.09303
236	24558.62236
237	24558.19214
238	24557.52132
239	24557.01707
240	24556.39455
241	24555.66132
242	24554.95348
243	24554.3144
244	24553.94043
245	24553.21014
246	24552.633
247	24551.98503
248	24551.40098
249	24550.97274
250	24550.40297
251	24549.82963
252	24549.27893
253	24548.88262
254	24548.33171
255	24547.54976
256	24547.26355
257	24546.77615
258	24546.52612
259	24545.96359
260	24545.62447
261	24544.92973
262	24544.21143
263	24543.8076
264	24543.35865
265	24542.97745
266	24542.56682
267	24542.11826
268	24541.56194
269	24541.02954
270	24540.55514
271	24539.98638
272	24539.48594
273	24539.14198
274	24538.80391
275	24538.42687
276	24537.95357
277	24537.55401
278	24537.12419
279	24536.59623
280	24536.22008
281	24535.73848
282	24535.26813
283	24534.84557
