iter	Passed	Remaining
0	10	10493
1	24	12373
2	35	11961
3	47	11721
4	57	11485
5	68	11398
6	79	11321
7	90	11273
8	102	11241
9	112	11169
10	124	11186
11	136	11211
12	148	11272
13	161	11364
14	172	11310
15	177	10931
16	187	10833
17	199	10874
18	210	10863
19	221	10865
20	233	10889
21	246	10958
22	258	10964
23	270	11004
24	284	11092
25	298	11169
26	309	11147
27	322	11204
28	336	11256
29	347	11248
30	359	11246
31	372	11261
32	383	11236
33	394	11210
34	406	11213
35	417	11181
36	428	11149
37	438	11102
38	449	11075
39	462	11104
40	474	11100
41	486	11088
42	497	11067
43	509	11079
44	522	11088
45	535	11104
46	547	11107
47	560	11109
48	571	11099
49	586	11134
50	598	11135
51	612	11172
52	627	11208
53	641	11232
54	658	11312
55	671	11321
56	683	11305
57	694	11273
58	705	11254
59	716	11222
60	727	11203
61	740	11203
62	751	11182
63	763	11161
64	774	11145
65	782	11079
66	793	11052
67	805	11042
68	817	11029
69	829	11014
70	841	11004
71	849	10948
72	861	10943
73	875	10954
74	887	10945
75	899	10931
76	911	10926
77	923	10916
78	936	10919
79	949	10923
80	963	10927
81	974	10912
82	982	10853
83	993	10837
84	1006	10830
85	1017	10815
86	1028	10794
87	1040	10785
88	1051	10766
89	1062	10745
90	1073	10726
91	1084	10703
92	1096	10690
93	1108	10687
94	1116	10638
95	1128	10624
96	1139	10605
97	1147	10559
98	1158	10541
99	1169	10524
100	1180	10509
101	1191	10490
102	1203	10477
103	1215	10467
104	1226	10453
105	1239	10454
106	1251	10447
107	1265	10449
108	1277	10443
109	1290	10438
110	1301	10422
111	1314	10420
112	1327	10419
113	1338	10406
114	1350	10396
115	1363	10393
116	1376	10384
117	1384	10349
118	1390	10292
119	1400	10267
120	1412	10260
121	1424	10248
122	1430	10202
123	1442	10187
124	1453	10177
125	1465	10164
126	1477	10155
127	1502	10237
128	1514	10224
129	1525	10209
130	1532	10168
131	1543	10152
132	1552	10121
133	1562	10098
134	1573	10084
135	1585	10073
136	1596	10056
137	1608	10045
138	1616	10012
139	1626	9990
140	1638	9980
141	1651	9979
142	1663	9971
143	1675	9959
144	1684	9932
145	1695	9915
146	1707	9909
147	1719	9901
148	1731	9890
149	1742	9875
150	1753	9860
151	1765	9852
152	1778	9844
153	1789	9832
154	1801	9822
155	1807	9781
156	1818	9764
157	1831	9757
158	1840	9735
159	1850	9717
160	1862	9706
161	1874	9694
162	1884	9677
163	1892	9644
164	1903	9631
165	1914	9620
166	1925	9606
167	1930	9560
168	1940	9544
169	1950	9524
170	1962	9514
171	1973	9500
172	1984	9487
173	1997	9482
174	2008	9467
175	2019	9457
176	2031	9445
177	2041	9427
178	2052	9415
179	2065	9407
180	2076	9396
181	2088	9385
182	2098	9370
183	2109	9356
184	2123	9354
185	2134	9341
186	2147	9337
187	2161	9337
188	2174	9329
189	2185	9317
190	2196	9305
191	2210	9302
192	2222	9294
193	2235	9288
194	2261	9337
195	2272	9320
196	2282	9305
197	2292	9287
198	2302	9268
199	2315	9262
200	2327	9252
201	2338	9237
202	2349	9223
203	2360	9211
204	2367	9179
205	2378	9168
206	2390	9157
207	2401	9143
208	2413	9134
209	2426	9126
210	2434	9103
211	2445	9088
212	2458	9082
213	2470	9074
214	2476	9043
215	2489	9034
216	2501	9024
217	2513	9017
218	2525	9006
219	2537	8996
220	2549	8985
221	2560	8973
222	2572	8963
223	2584	8953
224	2595	8939
225	2607	8931
226	2620	8922
227	2632	8912
228	2643	8898
229	2655	8890
230	2668	8882
231	2680	8872
232	2686	8841
233	2696	8826
234	2708	8815
235	2719	8803
236	2730	8790
237	2742	8779
238	2753	8767
239	2765	8758
240	2776	8744
241	2787	8730
242	2798	8717
243	2810	8708
244	2820	8692
245	2832	8682
246	2845	8673
247	2855	8658
248	2865	8643
249	2872	8618
250	2882	8602
251	2894	8591
252	2905	8579
253	2916	8565
254	2927	8553
255	2933	8524
256	2943	8508
257	2955	8499
258	2959	8465
259	2969	8451
260	2980	8438
261	3006	8468
262	3017	8456
263	3028	8442
264	3039	8429
265	3045	8403
266	3055	8388
267	3066	8374
268	3078	8364
269	3085	8343
270	3097	8332
271	3109	8322
272	3119	8307
273	3130	8293
274	3137	8272
275	3147	8257
276	3160	8249
277	3174	8245
278	3188	8240
279	3202	8235
280	3215	8228
281	3229	8222
282	3242	8215
283	3254	8204
284	3267	8196
285	3278	8185
286	3289	8172
287	3301	8162
288	3313	8151
289	3319	8126
290	3329	8113
291	3340	8099
292	3350	8085
293	3356	8059
294	3366	8045
295	3378	8034
296	3389	8023
297	3400	8010
298	3412	7999
299	3423	7987
300	3433	7972
301	3444	7960
302	3455	7949
303	3466	7935
304	3482	7935
305	3493	7922
306	3505	7912
307	3515	7899
308	3526	7885
309	3536	7872
310	3547	7859
311	3559	7849
312	3572	7840
313	3582	7827
314	3592	7812
315	3604	7801
316	3615	7789
317	3625	7775
318	3636	7763
319	3648	7752
320	3659	7740
321	3671	7730
322	3675	7704
323	3685	7689
324	3696	7676
325	3705	7661
326	3716	7649
327	3726	7635
328	3736	7621
329	3748	7610
330	3758	7597
331	3770	7586
332	3781	7575
333	3793	7563
334	3807	7557
335	3817	7543
336	3828	7532
337	3840	7521
338	3852	7512
339	3865	7503
340	3878	7496
341	3890	7484
342	3901	7473
343	3914	7464
344	3922	7447
345	3933	7434
346	3945	7423
347	3956	7412
348	3962	7391
349	3966	7366
350	3989	7376
351	4000	7364
352	4011	7352
353	4022	7341
354	4034	7330
355	4046	7320
356	4059	7310
357	4069	7298
358	4081	7287
359	4094	7278
360	4106	7268
361	4117	7257
362	4128	7245
363	4140	7234
364	4155	7229
365	4168	7221
366	4180	7210
367	4192	7199
368	4203	7188
369	4216	7179
370	4228	7169
371	4240	7159
372	4253	7150
373	4265	7138
374	4276	7127
375	4287	7115
376	4300	7107
377	4313	7098
378	4326	7088
379	4337	7076
380	4348	7065
381	4360	7055
382	4372	7044
383	4385	7035
384	4396	7023
385	4407	7011
386	4419	6999
387	4427	6983
388	4438	6970
389	4450	6960
390	4462	6950
391	4472	6937
392	4480	6920
393	4491	6908
394	4503	6897
395	4511	6880
396	4521	6868
397	4533	6857
398	4544	6845
399	4556	6835
400	4570	6826
401	4581	6815
402	4591	6802
403	4604	6793
404	4617	6784
405	4630	6774
406	4642	6764
407	4646	6742
408	4657	6729
409	4668	6718
410	4673	6698
411	4677	6675
412	4688	6663
413	4693	6644
414	4707	6635
415	4714	6617
416	4721	6601
417	4732	6589
418	4743	6577
419	4755	6567
420	4767	6556
421	4779	6545
422	4790	6534
423	4801	6522
424	4813	6512
425	4823	6499
426	4829	6481
427	4837	6465
428	4849	6454
429	4861	6444
430	4873	6433
431	4884	6421
432	4896	6411
433	4907	6399
434	4917	6387
435	4929	6377
436	4934	6357
437	4943	6343
438	4948	6323
439	4958	6311
440	4971	6302
441	4978	6284
442	4988	6272
443	5000	6261
444	5011	6249
445	5022	6238
446	5033	6227
447	5037	6207
448	5047	6194
449	5059	6184
450	5071	6173
451	5076	6154
452	5087	6142
453	5095	6127
454	5107	6118
455	5114	6101
456	5125	6090
457	5138	6081
458	5144	6063
459	5155	6052
460	5169	6043
461	5182	6035
462	5195	6025
463	5207	6016
464	5220	6005
465	5232	5996
466	5244	5985
467	5255	5973
468	5266	5962
469	5278	5952
470	5290	5942
471	5303	5932
472	5315	5922
473	5326	5911
474	5338	5900
475	5350	5889
476	5361	5878
477	5365	5859
478	5376	5848
479	5388	5837
480	5395	5821
481	5405	5809
482	5417	5799
483	5429	5788
484	5442	5778
485	5454	5768
486	5463	5755
487	5476	5745
